,,,Setup,Labour,Grand Total (Minutes),(Hrs),,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,X-RAY:,,,,,,,,,,,,,,,,,,,,
x,SETUP TIME,15,,,15,,,,,,,,,,,,,,,,
,SETUP PER PCB,15/BATCH SIZE,0.15,,15,,,,,,,,,,,,,,,,
,No. OF PARTS TO X-RAY,D,,,3,,,,,,,,,,,,,,,,
,SAMPLING RATE,Standard 20%,,,0.2,,,,,,,,,,,,,,,,
x,TIME PER X-RAY PART,1,,,1,,,,,,,,,,,,,,,,
x,SFDC SCANNING TIME,,,,0.16666,,,,,,,,,,,,,,,,
x,FORMULA:,,,,,,,,,,,,,,,,,,,,
,RUN PER PCB, D*1,,0.7666600000000001,0.7666600000000001,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,AOI:,,,,,,,,,,,,,,,,,,,,
x,SETUP TIME,15,,,20,,,,,,,,,,,,,,,,
x,CHANGE SIDES TIME,,,,5,,,,,,,,,,,,,,,,
,SETUP PER PCB,15/BATCH SIZE,0.25,,25,,,,,,,,,,,,,,,,
,No. SIDES OF PCB,D,,,2,,,,,,,,,,,,,,,,
x,TIME PER PANEL FOR AOI,1,,,1,,,,,,,,,,,,,,,,
x,SFDC SCANNING TIME,,,,0.33332,,,,,,,,,,,,,,,,
,MANUAL VERIFICATION,,,,0,,Add additional time if required for operator manual verification,,,,,,,,,,,,,,
,RUN PER PCB, D*1,,0.8333200000000001,0.8333200000000001,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,SMT QA:,,,,,,Standard QA captured in SMT time,,,,,,,,,,,,,,
,RUN PER PCB (ADDITIONAL SMT QA),AS REQUIRED,,0,0,,Additional inspection (if required) can be added here.   Normal SMT inspection is already in the run time,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,SMT REWORK,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
x,No. SMT PLACEMENTS,F,,,56,,,,,,,,,,,,,,,,
x,AVE TIME PER REWORK,1,,,1,,,,,,,,,,,,,,,,
x,PERCENTAGE OF REWORK ,0.0005,,,0.0005,,,,,,,,,,,,,,,,
,RUN PER PCB,F * 1.0 * 0.1%,,,0.028,,,,,,,,,,,,,,,,
,HAND INSERT (THROUGH HOLE),,,,,,,,,,,,,,,,,,,,
x,SETUP TIME,15,,,15,,,,,,,,,,,,,,,,
,SETUP PER PCB,15/BATCH SIZE,0,,0,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,MASKING/DEMASKING (if required),,,,0,,Total masking/demasking time,,,,,,,,,,,,,,
,No. HAND LOAD COMPONENTS,Q,,,0,,,,,,,,,,,,,,,,
x,AVE TIME PER PLACEMENT,0.2,,,0.2,,,,,,,,,,,,,,,,
x,HANDLING TIME PER PANEL,0.5,,,0.5,,,,,,,,,,,,,,,,
x,PCBs PER PANEL,L,,,4,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,RUN PER PCB,Q*0.2 + 0.5/L,,0,0,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,SCREW/RIVETING,,,,,,,,,,,,,,,,,,,,
x,SETUP TIME,15,,,15,,,,,,,,,,,,,,,,
,SETUP PER PCB,15/BATCH SIZE,0,,0,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,TOTAL NUMBER OF SCREWS/RIVETS,O,,,0,,,,,,,,,,,,,,,,
,TIME PER SCREW/RIVET,0.4,,,0,,,,,,,,,,,,,,,,
,RUN PER PCB, O*0.4,,0,0,,,,,,,,,,,,,,,,
,SELECTIVE SOLDER,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
x,SET UP / CONVERSION TIME,30,,,30,,,,,,,,,,,,,,,,
,SETUP PER PCB,30/BATCH SIZE,0,,0,,,,,,,,,,,,,,,,
,NUMBER OF HEADS,"0 = No Selective, 1 = 1 Head,  2 = Dual Head",,,0,,,,,,,,,,,,,,,,
,CYCLE TIME PER PANEL / PALLET,SS,,,0,,Note: In this cell enter time per PANEL / PALLET!,,,,,,,,,,,,,,
